Game,Date | Box,Opponent,Score,Decision,Record
124,8/20/2023,at New York Yankees,5 6,W,66-58
125,8/21/2023,at Houston Astros,9 4,L,66-59
126,8/22/2023,at Houston Astros,7 3,L,66-60
127,8/23/2023,at Houston Astros,5 7,W,67-60
128,8/24/2023,at Houston Astros,17 1,W,68-60
129,8/25/2023,vs Los Angeles Dodgers,7 4,L,68-61
130,8/26/2023,vs Los Angeles Dodgers,5 8,W,69-61
131,8/27/2023,vs Los Angeles Dodgers,7 4,L,69-62
132,8/28/2023,vs Houston Astros,13 5,L,69-63
133,8/29/2023,vs Houston Astros,6 2,L,69-64
134,8/30/2023,vs Houston Astros,7 4,L,69-65
135,9/1/2023,at Kansas City Royals,13 2,L,69-66
136,9/2/2023,at Kansas City Royals,5 9,W,70-66
137,9/3/2023,at Kansas City Royals,3 7,W,71-66
138,9/4/2023,at Tampa Bay Rays,3 7,W,72-66
139,9/5/2023,at Tampa Bay Rays,8 6,L,72-67
140,9/6/2023,at Tampa Bay Rays,3 2,L,72-68
141,9/8/2023,vs Baltimore Orioles,11 2,L,72-69
142,9/9/2023,vs Baltimore Orioles,13 1,L,72-70
143,9/10/2023,vs Baltimore Orioles,3 7,W,73-70
144-I,9/12/2023,vs New York Yankees,3 2,L,73-71
145-II,9/12/2023,vs New York Yankees,4 1,L,73-72
146-I,9/14/2023,vs New York Yankees,5 0,W,74-72
147-II,9/14/2023,vs New York Yankees,8 5,L,74-73
148,9/15/2023,at Toronto Blue Jays,0 3,L,74-74
149,9/16/2023,at Toronto Blue Jays,4 3,L,74-75
150,9/17/2023,at Toronto Blue Jays,3 2,L,74-76
151,9/18/2023,at Texas Rangers,2 4,W,75-76
152,9/19/2023,at Texas Rangers,6 4,L,75-77
153,9/20/2023,at Texas Rangers,15 5,L,75-78
154,9/22/2023,vs Chicago White Sox,2 3,W,76-78
155,9/23/2023,vs Chicago White Sox,0 1,L,76-79
156,9/24/2023,vs Chicago White Sox,3 2,L,76-80
157,9/26/2023,vs Tampa Bay Rays,9 7,L,76-81
158,9/27/2023,vs Tampa Bay Rays,0 5,L,76-82
159,9/28/2023,at Baltimore Orioles,0 2,L,76-83
160,9/29/2023,at Baltimore Orioles,3 0,W,77-83
161,9/30/2023,at Baltimore Orioles,5 2,L,77-84
162,10/1/2023,at Baltimore Orioles,1 6,W,78-84
